"LAKE_ID","SAMPLE_DATE","CHLORIDE_BS_TOTAL","CHLORIDE_OW_TOTAL","CHLOROPHYLL A_OW_TOTAL","DEPTH, SECCHI DISK DEPTH_SD_NA","IRON_BS_TOTAL","IRON_OW_TOTAL","NITROGEN, AMMONIA (AS N)_BS_TOTAL","NITROGEN, AMMONIA (AS N)_OW_TOTAL","NITROGEN, KJELDAHL, TOTAL_BS_TOTAL","NITROGEN, KJELDAHL, TOTAL_OW_TOTAL","NITROGEN, NITRATE-NITRITE_BS_TOTAL","NITROGEN, NITRATE-NITRITE_OW_TOTAL","PHOSPHORUS, TOTAL_BS_TOTAL","PHOSPHORUS, TOTAL_OW_TOTAL","TRUE COLOR_OW_TOTAL","NITROGEN, OW_TOTAL","NITROGEN, BS_TOTAL"
"1306STU0453A",2019-07-22,40.5,71.4,51.5,0.9,195,103,0.681,0.017,,0.96,0.297,0.056,0.119,0.105,55,1.016,
"1306STU0453A",2019-08-12,47.6,,5.02,1.9,310,164,0.2,0.132,0.78,0.78,0.903,0.661,0.129,,100,1.441,1.683
"1306STU0453A",2019-09-03,71.6,71.1,15,2.9,196,86.5,0.236,0.092,0.69,0.61,0.657,0.7,0.126,0.122,37,1.31,1.347
"1306STU0453A",2020-06-09,,,,2.1,,,,,,,,,,,,,
"1306STU0453A",2020-06-30,48.3,70.3,17.5,1.6,133,69.3,0.647,0.116,1.1,0.9,0.189,0.205,0.116,0.0733,43,1.105,1.289
"1306STU0453A",2020-07-07,50.8,68.8,,1.5,237,69.6,1.35,0.109,1.66,,,0.129,0.139,0.0802,30,,
"1306STU0453A",2020-09-01,51.9,60.9,13.7,1.8,1290,110,2.31,0.112,2.76,0.99,0.0107,0.893,0.414,0.153,41,1.883,2.7707
"1306STU0453A",2020-09-22,53.5,3.6,2.2,1.8,874,141,3.01,0.057,3.53,0.78,,1.25,0.249,0.133,45,2.03,
