"LAKE_ID","SAMPLE_DATE","ALKALINITY, TOTAL (AS CACO3)_TOTAL_BS","ARSENIC_TOTAL_BS","CALCIUM_TOTAL_BS","CHLORIDE_TOTAL_BS","IRON_TOTAL_BS","MANGANESE_TOTAL_BS","NITROGEN, AMMONIA (AS N)_TOTAL_BS","NITROGEN, NITRATE-NITRITE_TOTAL_BS","PH FOR COLOR ANALYSIS_NA_BS","PHOSPHORUS, DISSOLVED_DISSOLVED_BS","PHOSPHORUS, TOTAL_TOTAL_BS","SULFATE (AS SO4)_TOTAL_BS","ALKALINITY, TOTAL (AS CACO3)_TOTAL_OW","CALCIUM_TOTAL_OW","CARBON, TOTAL ORGANIC_TOTAL_OW","CHLORIDE_TOTAL_OW","CHLOROPHYLL A_TOTAL_OW","IRON_TOTAL_OW","MANGANESE_TOTAL_OW","NITROGEN, AMMONIA (AS N)_TOTAL_OW","NITROGEN, KJELDAHL, TOTAL_TOTAL_OW","NITROGEN, NITRATE-NITRITE_TOTAL_OW","PH FOR COLOR ANALYSIS_NA_OW","PHOSPHORUS, DISSOLVED_DISSOLVED_OW","PHOSPHORUS, TOTAL_TOTAL_OW","SULFATE (AS SO4)_TOTAL_OW","TRUE COLOR_TOTAL_OW","DEPTH, SECCHI DISK DEPTH_NA_SD","CARBON, TOTAL ORGANIC_TOTAL_BS","NITROGEN, KJELDAHL, TOTAL_TOTAL_BS","TRUE COLOR_TOTAL_BS","CARBON, DISSOLVED ORGANIC (DOC)_DISSOLVED_BS","CARBON, DISSOLVED ORGANIC (DOC)_DISSOLVED_OW","HARDNESS (AS CACO3)_TOTAL_BS","NITROGEN, NITRATE (AS N)_TOTAL_BS","NITROGEN, NITRITE_TOTAL_BS","ARSENIC_TOTAL_OW","HARDNESS (AS CACO3)_TOTAL_OW","NITROGEN, TOTAL_OW","NITROGEN, TOTAL_BS"
"1306STU0453A",2019-07-22,94,1.7,30.1,40.5,195,939,0.681,0.297,7.32,0.102,0.119,9,129,43.3,6.2,71.4,51.5,103,66.7,0.017,0.96,0.056,8.36,0.0568,0.105,15.8,55,0.9,,,,,,,,,,,1.016,
"1306STU0453A",2019-08-12,78.8,1.5,32,47.6,310,136,0.2,0.903,7.56,0.108,0.129,18.2,86.8,33.3,7.7,,5.02,164,32.7,0.132,0.78,0.661,7.66,0.099,,17.2,100,1.9,8.1,0.78,100,,,,,,,,1.441,1.683
"1306STU0453A",2019-09-03,105,1.5,40.1,71.6,196,131,0.236,0.657,7.64,0.103,0.126,18,104,39.1,,71.1,15,86.5,31.6,0.092,0.61,0.7,7.72,0.098,0.122,18.1,37,2.9,,0.69,37,6.2,6.2,,,,,,1.31,1.347
"1306STU0453A",2020-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,
"1306STU0453A",2020-06-30,90.8,1.3,31.3,48.3,133,1030,0.647,0.189,7.5,0.0991,0.116,11.1,106,38.1,5.9,70.3,17.5,69.3,34.4,0.116,0.9,0.205,8.54,0.0363,0.0733,16.5,43,1.6,5.1,1.1,,,,110,0.147,0.041,1.6,142,1.105,1.289
"1306STU0453A",2020-07-07,96,1.6,32.2,50.8,237,2650,1.35,,7.28,0.122,0.139,10.1,110,37.3,6,68.8,,69.6,29,0.109,,0.129,9.16,0.0344,0.0802,17.3,30,1.5,5.5,1.66,20,,,112,,,1.6,139,,
"1306STU0453A",2020-09-01,120,4.3,34.7,51.9,1290,5710,2.31,0.0107,6.97,0.399,0.414,8.2,88,35.1,9.5,60.9,13.7,110,18.5,0.112,0.99,0.893,6.76,0.137,0.153,22.5,41,1.8,9.6,2.76,42,6.3,,119,,,1.8,125,1.883,2.7707
"1306STU0453A",2020-09-22,138,5.6,35.7,53.5,874,7390,3.01,,7.31,0.178,0.249,7.5,109,38.4,6.7,3.6,2.2,141,94.9,0.057,0.78,1.25,7.84,0.092,0.133,0,45,1.8,6.2,3.53,40,,,123,,,1.5,138,2.03,
